Mininum: 79    Maximum: 87
Mininum: 79    Maximum: 90
Mininum: 75    Maximum: 91
Mininum: 70    Maximum: 77
Mininum: 75    Maximum: 80
Mininum: 79    Maximum: 87
Mininum: 87    Maximum: 90
Mininum: 78    Maximum: 93
Mininum: 78    Maximum: 90
Mininum: 74    Maximum: 98
Mininum: 69    Maximum: 80
Mininum: 78    Maximum: 84
Mininum: 83    Maximum: 88
Mininum: 81    Maximum: 84
Mininum: 70    Maximum: 87
Mininum: 69    Maximum: 74
Mininum: 72    Maximum: 87
Mininum: 85    Maximum: 88
Mininum: 75    Maximum: 95
Mininum: 73    Maximum: 79
Mininum: 72    Maximum: 83
Mininum: 72    Maximum: 79
Mininum: 74    Maximum: 85
Mininum: 69    Maximum: 81
Mininum: 69    Maximum: 82
Mininum: 73    Maximum: 84
Mininum: 68    Maximum: 76
Mininum: 75    Maximum: 82
Mininum: 70    Maximum: 88
Mininum: 68    Maximum: 73
Mininum: 73    Maximum: 85
Mininum: 84    Maximum: 86
Mininum: 81    Maximum: 88
Mininum: 68    Maximum: 87
Mininum: 67    Maximum: 76
Mininum: 67    Maximum: 84
Mininum: 79    Maximum: 88
Mininum: 65    Maximum: 82
Mininum: 65    Maximum: 72
Mininum: 72    Maximum: 80
Mininum: 70    Maximum: 83
Mininum: 62    Maximum: 77
Mininum: 73    Maximum: 82
Mininum: 79    Maximum: 85
Mininum: 63    Maximum: 79
Mininum: 59    Maximum: 73
Mininum: 69    Maximum: 74
Mininum: 63    Maximum: 71
Mininum: 63    Maximum: 78
Mininum: 68    Maximum: 79
Mininum: 66    Maximum: 71
Mininum: 59    Maximum: 74
Mininum: 59    Maximum: 67
Mininum: 60    Maximum: 71
Mininum: 58    Maximum: 67
Mininum: 57    Maximum: 69
Mininum: 68    Maximum: 75
Mininum: 59    Maximum: 76
Mininum: 59    Maximum: 65
Mininum: 62    Maximum: 70
Mininum: 62    Maximum: 69
Mininum: 57    Maximum: 70
Mininum: 56    Maximum: 66
Mininum: 56    Maximum: 59
Mininum: 54    Maximum: 57
Mininum: 56    Maximum: 65
Mininum: 65    Maximum: 73
Mininum: 61    Maximum: 70
Mininum: 56    Maximum: 74
Mininum: 55    Maximum: 70
Mininum: 66    Maximum: 80
Mininum: 63    Maximum: 71
Mininum: 51    Maximum: 67
Mininum: 49    Maximum: 56
Mininum: 49    Maximum: 68
Mininum: 60    Maximum: 69
Mininum: 52    Maximum: 64
Mininum: 46    Maximum: 61
Mininum: 43    Maximum: 53
Mininum: 48    Maximum: 53
Mininum: 48    Maximum: 62
Mininum: 46    Maximum: 72
Mininum: 46    Maximum: 63
Mininum: 60    Maximum: 67
Mininum: 50    Maximum: 67
Mininum: 45    Maximum: 53
Mininum: 38    Maximum: 47
Mininum: 45    Maximum: 52
Mininum: 51    Maximum: 60
Mininum: 53    Maximum: 63
Mininum: 49    Maximum: 55
Mininum: 45    Maximum: 54
Mininum: 43    Maximum: 47
Mininum: 46    Maximum: 50
Mininum: 48    Maximum: 54
Mininum: 47    Maximum: 55
Mininum: 37    Maximum: 56
Mininum: 34    Maximum: 42
Mininum: 35    Maximum: 51
Mininum: 47    Maximum: 56
Mininum: 44    Maximum: 53
Mininum: 42    Maximum: 54
Mininum: 48    Maximum: 59
Mininum: 44    Maximum: 58
Mininum: 38    Maximum: 48
Mininum: 36    Maximum: 49
Mininum: 44    Maximum: 56
Mininum: 35    Maximum: 46
Mininum: 32    Maximum: 38
Mininum: 23    Maximum: 40
Mininum: 36    Maximum: 43
Mininum: 36    Maximum: 43
Mininum: 34    Maximum: 47
